transformer_id,substation_id,transformer_type,capacity_kva,manufacturer,installation_date,age_years,rated_voltage_kv,latitude,longitude,customer_count,critical_customer_count,hospital_nearby,industrial_load,criticality_score
TR001,SS01,Power,630,Siemens,2009-09-06,17.0,66,22.76527,72.572479,50,3,False,True,49.8
TR002,SS01,Power,1000,ABB,2017-06-13,9.2,66,22.980661,72.562716,2737,27,False,False,34.6
TR003,SS01,Power,2500,Schneider Electric,2020-03-10,6.5,66,23.127257,72.545495,6827,113,False,False,35.5
TR004,SS01,Distribution,630,Schneider Electric,2015-02-19,11.6,11,22.940186,72.53742,3371,186,False,False,41.1
TR005,SS01,Power,1600,GE Grid Solutions,2023-04-07,3.4,22,22.915396,72.773099,3915,78,True,False,36.3
TR006,SS01,Power,630,Siemens,2008-02-07,18.6,33,22.894303,72.682148,169,7,False,False,47.8
TR007,SS01,Distribution,500,ABB,2013-06-27,13.2,11,22.646969,72.526156,3308,228,False,True,49.2
TR008,SS01,Distribution,630,Schneider Electric,2024-08-12,2.1,66,22.955652,72.627126,4985,87,True,True,40.4
TR009,SS01,Distribution,630,Schneider Electric,2016-09-14,10.0,11,22.511355,72.420804,4285,118,False,False,38.7
TR010,SS01,Power,2500,Hitachi Energy,2015-04-21,11.4,33,22.517474,72.891561,3218,189,False,True,45.6
TR011,SS02,Distribution,315,Siemens,2021-07-15,5.2,11,22.889116,72.700459,1293,80,False,False,26.4
TR012,SS02,Distribution,250,Schneider Electric,2021-01-05,5.7,22,22.569415,72.905072,2167,34,True,False,37.8
TR013,SS02,Distribution,500,Hitachi Energy,2013-01-05,13.7,33,22.793495,72.912696,2484,158,True,False,53.5
TR014,SS02,Distribution,630,Schneider Electric,2024-04-15,2.4,11,22.548174,72.682422,3638,24,False,False,23.7
TR015,SS02,Distribution,1000,GE Grid Solutions,2012-08-20,14.1,11,22.476189,72.682911,7260,95,False,False,49.1
TR016,SS02,Distribution,1600,Hitachi Energy,2024-04-06,2.4,66,22.565225,72.376946,12431,542,False,False,39.1
TR017,SS02,Distribution,5000,Hitachi Energy,2009-09-23,17.0,66,22.913163,72.574195,30000,1317,False,False,92.9
TR018,SS02,Distribution,1000,ABB,2008-12-26,17.7,11,22.869568,72.874737,10301,694,False,True,69.9
TR019,SS02,Distribution,500,Schneider Electric,2013-12-14,12.7,66,22.924361,72.4231,3336,20,False,True,46.3
TR020,SS02,Distribution,1000,Hitachi Energy,2015-03-24,11.5,33,23.099294,72.588547,8831,534,False,True,55.8
TR021,SS03,Distribution,630,ABB,2013-12-15,12.7,33,22.524128,72.434204,3533,24,False,False,41.6
TR022,SS03,Distribution,5000,Hitachi Energy,2011-12-20,14.7,33,23.0306,72.82809,20365,1300,True,True,92.5
TR023,SS03,Distribution,630,GE Grid Solutions,2023-11-21,2.8,33,23.057243,72.622338,3742,124,False,False,25.5
TR024,SS03,Distribution,500,Siemens,2022-10-26,3.9,33,22.667234,72.436323,2328,115,False,False,25.7
TR025,SS03,Power,315,Siemens,2017-02-13,9.6,11,22.863801,72.758429,479,4,False,True,37.4
TR026,SS03,Distribution,500,Hitachi Energy,2020-11-22,5.8,33,22.849863,72.599757,3816,71,False,False,30.3
TR027,SS03,Distribution,500,Hitachi Energy,2023-02-03,3.6,33,23.081857,72.937742,3762,280,True,False,38.5
TR028,SS03,Power,1600,Siemens,2018-10-20,7.9,33,22.719563,72.733738,2393,104,False,False,32.7
TR029,SS03,Distribution,315,ABB,2010-06-17,16.2,22,22.93002,72.528126,1238,40,False,False,45.2
TR030,SS03,Power,2500,Schneider Electric,2021-04-13,5.4,22,22.893042,72.522893,13719,740,False,False,47.9
TR031,SS04,Power,315,Siemens,2016-11-25,9.8,33,23.105158,72.432445,1367,17,False,True,38.9
