timestamp,location_id,zone,latitude,longitude,temperature_c,humidity_percentage,rainfall_mm,wind_speed_kmh,pressure_hpa,lightning_probability,storm_probability,flood_risk
2026-01-01 00:00:00,LOC01,North Zone,23.08,72.58,20.64,72.67,1.56,7.12,1008.04,0.007,0.002,0.027
2026-01-01 00:30:00,LOC01,North Zone,23.08,72.58,22.45,71.01,0.08,13.61,1007.27,0.003,0.01,0.026
2026-01-01 01:00:00,LOC01,North Zone,23.08,72.58,22.49,64.58,0.06,13.62,1009.6,0.0,0.006,0.019
2026-01-01 01:30:00,LOC01,North Zone,23.08,72.58,24.86,63.07,0.11,13.22,1010.3,0.02,0.018,0.031
2026-01-01 02:00:00,LOC01,North Zone,23.08,72.58,21.06,75.13,0.21,6.79,1011.32,0.004,0.0,0.018
2026-01-01 02:30:00,LOC01,North Zone,23.08,72.58,20.53,69.2,0.03,22.57,1010.95,0.018,0.0,0.021
2026-01-01 03:00:00,LOC01,North Zone,23.08,72.58,20.98,69.63,0.3,14.75,1007.54,0.007,0.008,0.029
2026-01-01 03:30:00,LOC01,North Zone,23.08,72.58,21.96,68.64,0.02,10.97,1007.29,0.005,0.016,0.044
2026-01-01 04:00:00,LOC01,North Zone,23.08,72.58,19.42,73.14,0.08,13.65,1011.16,0.01,0.0,0.038
2026-01-01 04:30:00,LOC01,North Zone,23.08,72.58,19.96,68.0,0.02,15.16,1008.79,0.022,0.032,0.0
2026-01-01 05:00:00,LOC01,North Zone,23.08,72.58,18.48,67.47,0.66,14.94,1006.12,0.015,0.012,0.013
2026-01-01 05:30:00,LOC01,North Zone,23.08,72.58,20.25,70.59,0.24,14.07,1009.5,0.015,0.0,0.0
2026-01-01 06:00:00,LOC01,North Zone,23.08,72.58,18.92,71.95,0.0,18.76,1010.19,0.0,0.013,0.028
2026-01-01 06:30:00,LOC01,North Zone,23.08,72.58,17.79,72.92,0.88,15.81,1009.94,0.0,0.025,0.048
2026-01-01 07:00:00,LOC01,North Zone,23.08,72.58,20.35,75.04,1.76,12.0,1008.62,0.021,0.011,0.046
2026-01-01 07:30:00,LOC01,North Zone,23.08,72.58,18.64,68.8,0.01,5.72,1008.67,0.015,0.0,0.013
2026-01-01 08:00:00,LOC01,North Zone,23.08,72.58,18.08,73.86,0.02,18.53,1012.25,0.009,0.03,0.018
2026-01-01 08:30:00,LOC01,North Zone,23.08,72.58,18.35,68.77,0.36,2.88,1009.01,0.008,0.018,0.036
